"TYPE","COMMENT"
"Valuable","Compared to ESE 124, we learned much more techniques in coding and important concepts such as classes and ways pointers could be used to implement a linked list. Although we learned a lot of syntax, we did start to learn much more interesting things at the ending part of the course such as linked lists of sorting and searching algorithms.

Unfortunately, with the lack of motivation for students to come to class (max 15 students in class out of the 90 total), the class was not worth attending even though I attended every single day."
"Valuable","Firstly, it must be said that Professor Subbarao is a very kind and helpful professor. Anytime a student had a question or concern, Prof. Subbarao was very fast to respond (whether in class, through email, or on the Piazza discussion board).

The class itself is a great step into C++ programming and covers a wide range of need-to-know topics such as linked-lists, inheritance, templates, and more. Even as someone with some prior programming experience, this class reinforced my knowledge of many concepts and taught me new things."
"Valuable","The lectures were very informative. The professor did a very good job explaining difficult concepts thoroughly. He tries very hard to be interactive with students. He helps to clarify concepts that are confusing to students. He gives good examples of actual code in class . He refers back to the textbook frequently durring the lectures. This professor is very good at teaching which is evident in his lectures. His lectures are very valuable."
"Valuable","I would like to recommend my TA, Wenyu Cao.
I had a great experience having him as a TA.
He always responded to emails very quickly and was always available for any questions.
He checked my projects ahead of time and let me know what can be fixed or changed.
He did everything to make sure I can learn and all things go smoothly.
Good course."
"Valuable","Professor assigns lots of projects. Projects are better than tests. Cause you are an engineer and you need some kinda hands-on experience. Test don't give you that. Professor is great in office hour. Professor always answer my question on Piazza so everyone can see his answer. The book is great but costs 80 bucks."
"Valuable","The projects and the fact that we used MindTap which allows students to read short powerpoints that go over the key points of the chapter instead of reading the actual book and also provided so many exercises."
"Valuable","He goes on tangents and doesn't show actual examples of code in class really. The class felt like it didn't really have much of a structure to it and i did most of my learning on Youtube or from the textbook"
"Valuable","It does give a solid foundation of the C++ programming and teaches all the basics needed to learn how to code. The textbook is helpful in learning, however it is too expensive"
"Valuable","Being a programming course, alot of the material could be learned online or from the textbook, also having taken ESE 124 (teaching a similar language) helped."
"Valuable","The first exam was the hardest, the others gradually became easier and easier despite the topics being difficult and the homeworks/projects taking forever"
"Valuable","Large emphasis on generic c++ code, using new and delete for dynamically allocating memory"
"Valuable","The book And the cenegate are super expensive and useless!"
"Valuable","The textbook was very good about explaining."
"Valuable","Learning a new programming language"
"Valuable","More coding experience"
"Valuable","Data structures"
"Valuable","Projects."
"Valuable","nothing"
"Valuable","Nothing"
"Valuable","The TAs"
